"pTemperature,d18O"
"2.84,0.34"
"2.49,0.30"
"2.37,0.29"
"4.65,0.22"
"4.36,0.28"
"4.36,0.29"
"4.27,0.25"
"4.16,0.27"
"4.01,0.29"
"3.76,0.26"
"3.62,0.28"
"3.43,0.24"
"3.30,0.24"
"3.25,0.28"
"3.61,0.16"
"2.69,0.01"
"1.00,0.21"
"0.52,0.19"
"0.03,0.26"
"0.48,0.11"
"0.08,0.10"
"1.20,0.26"
"0.83,0.20"
"0.41,0.24"
"-0.26,0.21"
"-0.52,0.23"
"0.04,0.15"
"0.92,0.22"
"-0.39,0.21"
"-0.77,0.25"
"-0.90,0.18"
"-0.89,0.24"
"-1.01,0.23"
"-0.01,0.06"
"0.22,0.16"
"-0.26,0.07"
"-0.20,0.07"
"0.20,0.13"
"3.65,0.24"
"3.78,0.00"
"3.81,0.26"
"8.34,0.10"
"8.33,0.13"
"5.62,0.12"
"4.54,0.21"
"4.55,0.10"
"4.49,0.34"
"4.31,0.36"
"4.14,0.28"
"3.79,0.34"
"3.65,0.39"
"3.44,0.39"
"3.64,0.36"
"3.46,0.28"
"3.35,0.30"
"3.27,0.36"
"3.21,0.46"
"2.61,0.32"
"2.22,0.40"
"3.47,0.45"
"4.17,0.44"
"4.45,0.23"
"4.37,0.12"
"4.11,0.30"
"4.74,0.34"
"4.24,0.24"
"3.99,0.24"
"3.62,0.11"
"1.06,0.00"
"1.23,0.11"
"1.05,0.04"
"1.79,0.08"
"0.62,0.00"
"1.12,0.15"
"1.59,0.02"
"0.77,0.00"
"1.55,0.51"
"-0.49,0.23"
"0.99,0.45"
"-0.55,0.00"
"4.28,0.02"
"4.00,0.06"
"3.82,0.11"
"4.16,0.09"
"3.60,0.88"
"5.60,0.04"
"4.80,0.11"
"4.28,0.09"
"3.99,0.12"
"3.73,0.12"
"3.63,0.15"
"3.35,0.10"
"3.17,0.08"
"3.09,0.11"
"3.02,0.10"
"3.00,0.16"
"3.07,0.09"
"3.19,0.23"
"2.84,0.25"
"2.16,0.25"
"1.31,0.15"
"8.47,0.08"
"5.08,0.04"
"4.51,0.19"
"4.20,0.25"
"4.07,0.19"
"4.04,0.13"
"3.94,0.15"
"3.79,0.14"
"3.61,0.13"
"3.47,0.10"
"3.17,0.09"
"3.04,0.11"
"3.04,0.10"
"3.19,0.18"
"3.03,0.20"
"2.67,0.19"
"2.24,0.14"
"1.36,0.14"
"1.24,0.12"
"0.48,0.06"
"0.51,0.02"
"0.86,0.04"
"-0.46,0.07"
"-0.04,0.08"
"-0.62,0.13"
"-0.21,0.06"
"0.21,0.16"
"0.57,0.19"
"0.53,0.17"
"0.34,0.15"
"1.07,0.23"
"0.51,0.27"
"0.12,0.19"
"0.06,0.23"
"-0.14,0.26"
"-0.44,0.27"
"-0.61,0.25"
"1.41,0.22"
"0.45,0.25"
"-0.11,0.22"
"-0.41,0.18"
"-0.53,0.21"
"-0.65,0.21"
"0.46,0.14"
"0.34,0.23"
"-0.01,0.29"
"-0.44,0.25"
"-0.53,0.28"
"1.88,0.07"
"0.41,0.14"
"-0.26,0.28"
"-0.44,0.21"
"5.61,0.23"
"1.20,0.09"
"7.62,0.25"
"7.65,0.26"
"7.56,0.23"
"7.44,0.25"
"7.41,0.25"
"9.06,0.15"
"8.96,0.21"
"8.27,0.29"
"7.57,0.35"
"8.23,0.20"
"8.23,0.20"
"7.58,0.29"
"6.96,0.26"
"6.93,0.28"
"7.57,0.24"
"7.68,0.24"
"7.72,0.28"
"7.33,0.35"
"6.62,0.29"
"7.06,0.20"
"5.63,0.14"
"0.52,0.06"
"0.31,0.11"
"-0.30,0.18"
"-0.31,0.21"
"-0.31,0.21"
"0.28,0.16"
"0.92,0.19"
"0.68,0.19"
"0.41,0.25"
"0.56,0.11"
"0.61,0.14"
"3.31,0.19"
"1.23,0.16"
"6.79,0.23"
"6.36,0.33"
"1.25,0.17"
"3.84,0.08"
"1.59,0.06"
"1.93,0.03"
"1.72,0.14"
"0.67,0.16"
"2.76,-0.00"
"1.34,0.10"
"0.79,0.16"
"0.74,0.14"
"3.43,0.01"
"4.16,0.13"
"1.42,0.14"
"0.95,0.16"
"0.72,0.22"
"0.90,0.17"
"2.60,0.13"
"3.23,0.02"
"2.38,0.10"
"2.55,0.06"
"2.67,0.06"
"2.57,0.11"
"7.10,0.03"
"7.43,0.06"
"7.61,0.20"
"7.40,0.21"
"7.30,0.26"
"6.71,0.20"
"4.91,0.18"
"7.47,0.20"
"7.10,0.30"
"4.78,0.22"
"7.45,0.24"
"8.01,0.11"
"7.65,0.33"
"7.43,0.33"
"4.93,0.26"
"6.76,0.17"
"7.57,0.17"
"5.62,0.12"
"4.64,0.09"
"4.19,0.14"
"7.54,0.23"
"7.43,0.23"
"7.52,0.32"
"7.17,0.27"
"6.42,0.26"
"3.18,0.20"
"1.32,0.17"
"0.72,0.21"
"9.54,0.28"
"7.87,0.31"
"7.06,0.31"
"5.64,0.18"
"5.00,0.16"
"4.26,0.24"
"3.90,0.27"
"3.70,0.22"
"2.62,0.21"
"0.74,0.21"
"8.88,0.25"
"6.37,0.30"
"4.86,0.25"
"4.26,0.15"
"4.05,0.24"
"3.84,0.20"
"3.98,0.21"
"3.88,0.23"
"3.65,0.20"
"3.21,0.20"
"3.19,0.21"
"3.17,0.21"
"2.69,0.23"
"2.11,0.17"
"1.75,0.24"
"9.69,0.14"
"7.10,0.17"
"5.78,0.14"
"5.19,0.17"
"4.25,0.16"
"3.98,0.26"
"3.94,0.17"
"3.84,0.23"
"3.73,0.15"
"3.54,0.15"
"3.29,0.15"
"3.09,0.20"
"3.04,0.21"
"3.03,0.25"
"2.06,0.19"
"8.79,0.21"
"8.79,0.19"
"7.25,0.27"
"5.34,0.15"
"4.58,0.19"
"4.01,0.14"
"3.41,0.14"
"3.06,0.14"
"2.97,0.18"
"3.00,0.13"
"2.98,0.13"
"1.68,0.10"
"1.22,0.17"
"1.30,0.13"
"1.22,0.16"
"8.43,0.22"
"8.33,0.24"
"7.14,0.36"
"6.08,0.29"
"5.02,0.27"
"3.74,0.27"
"3.27,0.11"
"2.96,0.15"
"3.03,0.09"
"2.68,0.21"
"2.22,0.12"
"1.35,0.16"
"1.00,0.12"
"0.94,0.21"
"8.38,0.24"
"8.33,0.24"
"7.64,0.28"
"6.94,0.38"
"5.99,0.23"
"4.94,0.20"
"4.17,0.21"
"3.90,0.29"
"3.49,0.22"
"3.29,0.24"
"3.07,0.15"
"3.03,0.21"
"2.53,0.23"
"1.06,0.28"
"1.06,0.26"
"8.29,0.20"
"7.32,0.22"
"6.57,0.22"
"5.79,0.19"
"4.77,0.20"
"4.00,0.10"
"3.67,0.12"
"3.16,0.14"
"1.54,0.14"
"1.27,0.14"
"7.58,0.14"
"6.90,0.17"
"6.38,0.20"
"5.25,0.18"
"4.31,0.19"
"3.61,0.11"
"3.11,0.16"
"2.08,0.18"
"1.98,0.17"
"7.93,0.23"
"7.57,0.23"
"6.53,0.23"
"5.19,0.14"
"4.32,0.09"
"3.69,0.12"
"3.29,0.08"
"3.72,0.14"
"3.19,0.15"
"2.87,0.06"
"8.38,0.12"
"8.25,0.13"
"7.43,0.24"
"6.57,0.21"
"5.55,0.18"
"6.51,0.00"
"6.89,0.05"
"3.11,0.09"
"3.12,-0.00"
"3.12,0.05"
